sub,run,movie_number,onset_sec,rating
5,4,27,215.28,5
5,4,28,44.25,5
5,4,29,124.74,5
5,4,30,268.75,6
5,4,31,159.96,7
5,4,32,333.68,5
5,4,33,247.2,4
5,4,34,448.85,4
5,4,35,193.01,4
5,4,36,390.95,5
5,4,37,341.01,8
5,4,38,70.04,7
5,4,39,165.64,6
5,4,40,38.84,8
5,4,41,226.13,5
5,4,42,152.59,4
5,4,43,231.22,4
5,4,44,367.45,6
5,4,45,98.44,7
5,4,46,291.1,8
5,4,47,55.7,8
5,4,48,440.42,8
5,4,49,114.37,2
5,4,50,426.43,3
5,4,51,301.27,3
5,4,52,65.18,2
5,4,53,171.36,3
5,4,54,284.38,3
5,4,55,377.59,4
5,4,56,187.49,4
5,5,1,143.64,7
5,5,2,100.58,4
5,5,3,437.97,5
5,5,4,42.03,4
5,5,5,365.02,7
5,5,6,280,7
5,5,7,302.76,3
5,5,8,197.28,6
5,5,9,158.36,3
5,5,10,274.02,4
5,5,11,346.49,4
5,5,12,192.69,5
5,5,13,85.44,8
5,5,14,32.92,7
5,5,15,392.32,6
5,5,16,421.24,7
5,5,17,206.05,5
5,5,18,150.36,6
5,5,19,316.03,7
5,5,20,51.08,6
5,5,21,118.11,6
5,5,22,253.93,8
5,5,23,355.6,9
5,5,24,445.73,6
5,5,25,381.53,3
5,5,26,90.55,3
5,5,27,320.71,5
5,5,28,67.06,5
5,5,29,410.6,5
5,5,30,242.61,6
5,5,31,169.88,7
5,5,32,229.75,5
5,5,33,186.43,4
5,5,34,56.67,4
5,5,35,456.34,4
5,5,36,297.52,5
5,5,37,360.34,8
5,5,38,125.19,7
5,5,39,339.73,6
5,5,40,215.68,8
